~id, initials:String, department:String, title:String, ~label
1675,J.H.,Eng - System III,Cloud Infrastructure and IT,Employee
1712,N.L.,Sr. Mgr - Product,Global Platform,Employee
1734,T.M.,Spec - Advanced Product (H),Advanced Technical Support - Non Chat,Employee
1771,M.Y.,Mgr - Legal,Legal,Employee
1783,F.O.,Eng - Software Development IV,Products,Employee
1821,D.W.,Eng - System II,Cloud Infrastructure and IT,Employee
1844,K.N.,Consultant - OCEO III,Office of the CEO,Employee
1855,A.M.,Senior Manager of Software Development - Tools,Global Platform,Employee
1902,J.Y.,Eng - Software Development III,Technology Engineering,Employee
1974,K.N.,Communications IC III,Legal,Employee
2053,S.T.,Eng - System III,Cloud Infrastructure and IT,Employee
2056,J.F.,Sr. Mgr - UX,Global Platform,Employee
2057,R.T.,Eng - Software Development V,Products,Employee
2062,N.H.,Program Manager,Products,Employee
2068,G.Y.,Eng - Software Development V,Products,Employee
2113,W.M.,Consultant - SalesSupport,Inbound Services,Employee
2126,W.E.,Admin - Systems I,Advanced Technical Support - Non Chat,Employee
2133,R.D.,Eng - Software Development in Test IV,Products,Employee
2151,M.E.,OCEO - Social Care Manager,Office of the CEO,Employee
2159,M.L.,Solutions Engineer III,Hosting Support Managed Services,Employee
2173,A.K.,Eng - Software Development IV,Global Platform,Employee
2175,J.N.,Creative Dir,Customer Experience,Employee
2187,L.S.,Assoc - Multilingual Secure Certificate Services III,Secure Certificate Services,Employee
2201,N.E.,Legal Investigations Specialist,Legal,Employee
2223,R.A.,Managed Services Lead - Fulfillment,Hosting Support Managed Services,Employee
2242,F.K.,Dir - Prem Svcs,Products,Employee
2249,R.Y.,Analyst - Backup,Cloud Infrastructure and IT,Employee
2266,J.N.,Sr. Mgr - Product,Cloud Infrastructure and IT,Employee
2277,T.S.,Consultant - OCEO I (H),Office of the CEO,Employee
2278,V.V.,AM Support II,Aftermarket,Employee
2286,A.M.,Eng - Software Development IV,Security - Sucuri,Employee
2288,D.N.,Rep - Advanced Technical Support,Advanced Technical Support,Employee
2302,D.K.,Sup - C3,CDT Web Presence,Employee
2316,P.K.,Consultant - SalesSupport,C3 Support,Employee
2329,M.L.,Analyst - WF II,C3 Management,Employee
2332,M.L.,Mgr - IT Engineering,Cloud Infrastructure and IT,Employee
2336,A.N.,Director Product Management -Security,Security - Sucuri,Employee
2343,S.T.,Eng - Site Reliability III,Cloud Infrastructure and IT,Employee
2348,D.N.,Sr. Mgr - Software Development,Cloud Infrastructure and IT,Employee
2349,R.L.,Designer - Visual IV,Customer Experience,Employee
2356,M.L.,Sr. Dir - SRE,Cloud Infrastructure and IT,Employee
2366,L.Y.,Analyst - Website Security Support I,Products,Employee
2390,D.N.,Eng - System Telecom V,Cloud Infrastructure and IT,Employee
2397,C.D.,Rep - Advanced Technical Support - Hosting,Advanced Technical Support - HS Tech Chat,Employee
2420,J.N.,Eng - Site Reliability IV,Products,Employee
2440,P.L.,Consultant - SalesSupport,C3 Support,Employee
2452,C.E.,OCEO Account Recovery Manager,Office of the CEO,Employee
2469,F.K.,Eng - Software Development IV,Products,Employee
2507,R.N.,Network Engineer IV,Cloud Infrastructure and IT,Employee
2528,M.N.,Admin - Chargeback II,Fraud,Employee
2530,S.N.,Advisor - GoDaddy Business,CDT Web Presence,Employee
2541,G.E.,Eng - Software Development IV,Global Platform,Employee
2550,G.Y.,Consultant - OCEO III,Office of the CEO,Employee
2552,J.M.,Eng - Data Center II,Cloud Infrastructure and IT,Employee
2560,D.N.,Consultant - OCEO I (H),Office of the CEO,Employee
2574,J.S.,Analyst - Fraud Detection IV,Fraud,Employee
2590,M.W.,Sr. Mgr - Product,Products,Employee
2632,T.D.,Mgr - Program Management,Customer Experience,Employee
2636,M.W.,Sup - C3,CDT Web Presence,Employee
2645,B.T.,Business Analyst II,Domain Services,Employee
2653,G.Y.,Consultant - SalesSupport,Billing,Employee
2674,J.N.,Eng - Software Development V,Products,Employee
2675,C.Y.,Eng - System III,Cloud Infrastructure and IT,Employee
2703,R.A.,Eng - Software Development IV,Cloud Infrastructure and IT,Employee
2719,C.S.,Sr. Mgr - C3 Site,Productivity,Employee
2729,J.N.,Eng - Software Development IV,Global Platform,Employee
2742,J.E.,Sr. Mgr - C3 Site,Hosting Support Sales,Employee
2752,T.I.,Marketing Manager Sponsorship & Brand,Global Market Operations,Employee
2760,C.S.,Eng - Software Development V,Products,Employee
2761,W.M.,Eng - Software Development V,Global Platform,Employee
2785,J.E.,AfterMarket Escrow I,Aftermarket,Employee
2837,A.Y.,Spec - Domain Srvcs IV,Domain Services,Employee
2854,J.H.,Sr. Mgr - Community,Aftermarket,Employee
2877,C.S.,Eng - Security IV,Cloud Infrastructure and IT,Employee
2916,M.K.,Eng - Site Reliability VI,Cloud Infrastructure and IT,Employee
2937,C.S.,Mgr - Legal,Legal,Employee
2941,B.Y.,Eng - Software Development V,Global Platform,Employee
2975,D.E.,Sr. Mgr - Marketing (Mgr),Customer Development Team,Employee
2999,C.E.,Consultant - C3 I,Productivity,Employee
3002,D.S.,Sup - Advanced Tech Supp,Advanced Technical Support,Employee
3023,G.Y.,Sup - C3,Inbound Services,Employee
3074,W.Y.,Spec - Advanced Product (H),Advanced Technical Support - Non Chat,Employee
3089,M.L.,Sr. Mgr - Software Development,Products,Employee
3102,J.N.,Mgr - Program,C3 Management,Employee
3126,J.A.,Mgr - Program,Domain Services,Employee
3127,G.D.,Eng - Software Development III,Global Platform,Employee
3130,V.I.,Eng - Software Development V,Global Platform,Employee
3159,C.R.,DCAST Manager,Domain Services,Employee
3160,C.Y.,Mgr - Business Analytics,Care Analytics,Employee
3193,A.E.,Analyst - Fraud Detection IV,Fraud,Employee
3207,K.Y.,Spec - Domain Srvcs IV,Domain Services,Employee
3215,S.E.,Operations Engineer I,Hosting Support Managed Services,Employee
3240,M.K.,Eng - Software Development IV,Cloud Infrastructure and IT,Employee
3253,J.F.,Prem Svcs II,Premier Services - Gold,Employee
3264,S.O.,Admin - Chargeback I,Fraud,Employee
3274,D.D.,Eng - System II,Cloud Infrastructure and IT,Employee
3300,B.N.,Sr. Mgr - Data Centers,Cloud Infrastructure and IT,Employee
3302,F.K.,AM Support I,Aftermarket,Employee
3307,J.N.,Dir - Data Centers,Cloud Infrastructure and IT,Employee
3326,E.C.,Sup - C3,Productivity,Employee
3335,W.E.,Eng - Site Reliability II,Cloud Infrastructure and IT,Employee
3338,D.L.,Eng - Software Development IV,Products,Employee
3340,J.O.,Sr. Mgr - HRIS,Cloud Infrastructure and IT,Employee
3345,B.N.,Eng - Software Development IV,Cloud Infrastructure and IT,Employee
3346,C.E.,AM Support I,Aftermarket,Employee
3369,K.N.,Rep - Advanced Technical Support,Advanced Technical Support,Employee
3420,R.K.,Dir - Software Development,Products,Employee
3425,D.N.,Rep - Advanced Technical Support,Advanced Technical Support,Employee
3459,E.C.,Sr. Mgr - SRE,Cloud Infrastructure and IT,Employee
3464,A.A.,Data Center Technician II,Cloud Infrastructure and IT,Employee
3467,D.D.,Consultant - SalesSupport,C3 Support,Employee
3469,E.C.,Sr. Mgr - SRE,Cloud Infrastructure and IT,Employee
3477,M.L.,Dir - SRE,Cloud Infrastructure and IT,Employee
3488,J.Y.,Sr. Mgr - C3 Site,Hosting Support Management,Employee
3495,T.Y.,Eng - Site Reliability III,Cloud Infrastructure and IT,Employee
3509,G.O.,Eng - Site Reliability III,Products,Employee
3520,S.N.,Eng - Site Reliability IV,Cloud Infrastructure and IT,Employee
3525,V.T.,Eng - Security III,Cloud Infrastructure and IT,Employee
3526,D.E.,Eng - Software Development IV,Cloud Infrastructure and IT,Employee
3542,N.Y.,Consultant - OCEO I (H),Office of the CEO,Employee
3547,J.E.,Mgr - Software Development,Cloud Infrastructure and IT,Employee
3549,N.L.,Sup - C3,Productivity,Employee
3555,J.N.,Consultant - OCEO III,Office of the CEO,Employee
3562,J.N.,Sr. Dir - IT Security,Cloud Infrastructure and IT,Employee
3570,D.D.,Consultant - SalesSupport,Billing,Employee
3606,A.A.,Director Customer Experience,Customer Experience,Employee
3622,L.S.,Sup - Website Security Support,Security - Sucuri,Employee
3627,T.M.,Senior Manager of Corporate Data and Operations,Cloud Infrastructure and IT,Employee
3635,C.S.,Product Marketing Manager II,Products,Employee
3649,M.L.,Analyst - Fraud Trend II,Fraud,Employee
3650,P.L.,Eng - Software Development II,Products,Employee
3665,J.A.,Rep - Advanced Technical Support,Advanced Technical Support,Employee
3670,B.N.,Engineer - Monitoring Services,Operations,Employee
3682,N.K.,Eng - System III,Cloud Infrastructure and IT,Employee
3688,S.E.,Eng - Site Reliability II,Cloud Infrastructure and IT,Employee
3690,L.E.,Eng - Software Development IV,Customer Experience,Employee
3691,A.N.,Eng - Software Development IV,Cloud Infrastructure and IT,Employee
3703,R.N.,Eng - Software Development IV,Global Platform,Employee
3709,A.A.,Learning Professional IV,Professional Development,Employee
3742,J.P.,Eng - Site Reliability III,Cloud Infrastructure and IT,Employee
3746,M.L.,Eng - System III,Cloud Infrastructure and IT,Employee
3750,T.M.,Assoc - Secure Certificate Services V,Secure Certificate Services,Employee
3757,C.E.,Section Editor,Global Market Operations,Employee
3770,J.A.,Consultant - CDT Sales Support,CDT Attach and Upgrade Test Team,Employee
3788,D.E.,Data Center Tech Lead,Cloud Infrastructure and IT,Employee
3799,D.N.,Customer Care Channel Marketing Manager for Domains,Products,Employee
3800,D.N.,Prem Svcs IV,Premier Services - Platinum,Employee
3811,N.Y.,Sr. Mgr - Marketing,Global Market Operations,Employee
3812,N.E.,Eng - Network III,Cloud Infrastructure and IT,Employee
3814,S.N.,Sr. Dir - Software Development,Products,Employee
3828,M.S.,Prem Svcs II,Premier Services - Gold,Employee
3848,D.L.,Eng - Site Reliability V,Cloud Infrastructure and IT,Employee
3865,J.S.,Eng - Software Development IV,Products,Employee
3879,D.D.,Consultant - OCEO I (H),Office of the CEO,Employee
3900,M.A.,Analyst - Pricing II,Global Market Operations,Employee
3909,D.L.,Sr. Dir - UX,Customer Experience,Employee
3914,F.O.,Site Reliability Engineer II,Cloud Infrastructure and IT,Employee
3915,B.N.,Prem Svcs IV,Premier Services - Platinum,Employee
3935,J.N.,Eng - Software Development IV,Technology Engineering,Employee
3945,D.D.,Sup - C3,CDT GoDaddy Business Advisors,Employee
